name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Dauntless Bodyguard",1,"Creature - Human Knight",W,"dom","14",uncommon,White,Owned,,false,,,"WB Knights;WR Aggro;WR Voltron;Protection","",67493
"Enduring Bondwarden",1,"Creature - Human Scout",W,"mom","14",common,White,Owned,,false,,,"","",109824
"Giant Killer",1,"Creature - Human Peasant",W,"eld","275",rare,White,Owned,Non-foil,false,,,"Removal;Card Advantage","",
"Hopeful Initiate",1,"Creature - Human Warlock",W,"vow","20",rare,White,Owned,,false,,,"","",94328
"Monk of the Open Hand",1,"Creature - Elf Monk",W,"afr","25",uncommon,White,Owned,,false,,,"","",91552
"Thraben Inspector",1,"Creature - Human Soldier",W,"soi","44",common,White,Owned,,false,,,"Card Advantage","",60240
"Venerable Knight",1,"Creature - Human Knight",W,"eld","35",uncommon,White,Owned,Non-foil,false,,,"WR Aggro;WB Knights","",78170
"Accorder Paladin",2,"Creature - Human Knight",W,"mbs","1",uncommon,White,Owned,,false,,,"WR Aggro;WB Knights;WG Tokens","",39297
"Cathar Commando",2,"Creature - Human Soldier",W,"mid","10",common,White,Owned,,false,,,"WR Aggro;Removal","",92942
"Fearless Fledgling",2,"Creature - Griffin",W,"znr","15",uncommon,White,Owned,,false,,,"","",82967
"Intrepid Adversary",2,"Creature - Human Scout",W,"mid","25",mythic,White,Owned,,false,,,"WR Aggro;WG Tokens","",92976
"Lion Sash",2,"Artifact Creature - Equipment Cat",W,"neo","26",rare,White,Owned,,false,,,"","",96962
"Luminarch Aspirant",2,"Creature - Human Cleric",W,"ncc","205",rare,White,Owned,Non-foil,false,,,"WR Aggro;WR Voltron;Bomb","",
"Niblis of the Urn",2,"Creature - Spirit",W,"dka","16",uncommon,White,Owned,,false,,,"","",43241
"Remorseful Cleric",2,"Creature - Spirit Cleric",W,"m19","33",rare,White,Owned,,false,,,"","",68227
"Selfless Spirit",2,"Creature - Spirit Cleric",W,"emn","40",rare,White,Owned,,false,,,"WU Fliers ;WR Voltron","",61102
"Sram, Senior Edificer",2,"Legendary Creature - Dwarf Advisor",W,"aer","23",rare,White,Owned,,false,,,"WR Voltron","",62603
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"vow","38",rare,White,Owned,,false,,,"WR Aggro","",94372
"Acclaimed Contender",3,"Creature - Human Knight",W,"eld","1",rare,White,Owned,,false,,,"WB Knights;WR Voltron;Card Advantage","",78088
"Ardenvale Tactician",3,"Creature - Human Knight",W,"eld","273",common,White,Owned,Non-foil,false,,,"WB Knights;WU Fliers ;Card Advantage","",
"Bygone Bishop",3,"Creature - Spirit Cleric",W,"soi","8",rare,White,Owned,,false,,,"","",60212
